timestamp,txn_id,from_account,to_account,amount,mode
2026-07-01 10:12:31,UTR90011,110023456789012,220098765432101,15250.50,NEFT
2026-07-01 11:45:02,UTR90012,110023456789012,330011223344556,8990.00,UPI
2026-07-02 02:14:08,UTR90013,110023456789012,440055667788990,500000,RTGS
2026-07-02 02:16:40,UTR90014,110023456789012,440055667788990,500000,RTGS
2026-07-02 02:19:05,UTR90015,110023456789012,440055667788990,500000,RTGS
2026-07-02 14:20:19,UTR90016,110023456789012,550012341234123,12000.00,IMPS
2026-07-03 09:05:44,UTR90017,110023456789012,220098765432101,7345.25,UPI
2026-07-03 16:32:10,UTR90018,110023456789012,660078907890789,4599.99,UPI
2026-07-04 10:01:52,UTR90019,110023456789012,220098765432101,15250.50,NEFT
2026-07-04 12:22:33,UTR90020,110023456789012,770045604560456,2300.00,UPI
2026-07-05 03:47:21,UTR90021,110023456789012,440055667788990,900000,RTGS
2026-07-05 13:18:09,UTR90022,110023456789012,880032103210321,6750.00,IMPS
2026-07-06 11:11:11,UTR90023,110023456789012,990065406540654,1899.00,UPI
2026-07-06 15:42:57,UTR90024,110023456789012,220098765432101,10500.00,NEFT
